text,label
"Government announces new education policy",real
"New smartphone launched with advanced camera",real
"Scientists discover a new species in the ocean",real
"Stock market rises after strong economic data",real
"University announces new scholarship program",real
"Heavy rainfall expected across several regions",real
"New electric vehicle launched with advanced features",real
"Car manufacturer announces new SUV",real
"Automobile company opens new manufacturing plant",real
"New vehicle receives five star safety rating",real
"Scientists develop a new medical treatment",real
"Football team qualifies for international tournament",real
"Company reports strong quarterly financial results",real
"New electric car gets 600 kilometer range",real
"Government announces new road safety rules",real
"Scientists develop revolutionary car that runs forever without fuel",fake
"New car company claims its vehicle can fly to the moon",fake
"Celebrity says drinking engine oil makes cars faster",fake
"New vehicle reportedly travels one million kilometers on one litre of fuel",fake
"Company claims its car can become invisible using ordinary paint",fake
"Government announces that all cars will run without engines next week",fake
"New smartphone is reported to charge itself using moonlight",fake
"Scientists reportedly invent a car that never needs roads",fake
"Car manufacturer claims its vehicle can travel faster than sound",fake
"New automobile supposedly runs entirely on seawater without technology",fake


