text,label
"The government announced a new tax cut for small businesses starting next month.",REAL
"SHOCKING: Aliens have officially taken over the White House and are demanding pizza.",FAKE
"Local scientists discover a new species of butterfly in the Amazon rainforest.",REAL
"Miracle fruit cures all diseases overnight, doctors hate this one weird trick!",FAKE
"The local community center is hosting a charity bake sale this coming Saturday.",REAL
"Scientists confirm the Earth is actually flat and surrounded by a giant wall of ice.",FAKE
"Global stock markets experienced a slight dip following reports of rising inflation rates.",REAL
"Time travel machine invented by local teenager using old microwave parts.",FAKE
"City officials break ground on the new public library downtown.",REAL
"Secret underground city found beneath local grocery store parking lot.",FAKE
